ID,TYPE,X,Y,Z,ORDERPARAMETER,NORMALIZED X, NORMALIZED Y, NORMALIZED Z, NORMALIZED OP, CN
327,2,10.015100,-83.128197,5.977850,34.362076,-0.777459,-0.929198,-0.733333,0.999723,12
329,2,10.920400,-84.942596,8.002850,34.371494,-0.757287,-0.949421,-0.600000,0.999997,12
332,2,11.825800,-82.223801,8.002850,34.367107,-0.737113,-0.919117,-0.600000,0.999869,12
140,2,13.640100,-85.839798,8.002850,34.344677,-0.696687,-0.959422,-0.600000,0.999217,12
167,2,15.448500,-84.942596,5.977850,34.371387,-0.656392,-0.949421,-0.733333,0.999994,12
172,2,17.259100,-84.035202,8.002850,34.367001,-0.616049,-0.939307,-0.600000,0.999866,12
358,2,16.353901,-82.223801,5.977850,34.366997,-0.636218,-0.919117,-0.733333,0.999866,12
361,2,14.543200,-83.128197,8.002850,34.362457,-0.676564,-0.929198,-0.600000,0.999734,12
166,2,18.168100,-85.839798,5.977850,34.344540,-0.595795,-0.959422,-0.733333,0.999213,12
198,2,21.787100,-84.035202,5.977850,34.367111,-0.515157,-0.939307,-0.733333,0.999870,12
199,2,19.071199,-83.128197,5.977850,34.362061,-0.575672,-0.929198,-0.733333,0.999723,12
201,2,19.976500,-84.942596,8.002850,34.371555,-0.555500,-0.949421,-0.600000,0.999999,12
204,2,20.881901,-82.223801,8.002850,34.367073,-0.535326,-0.919117,-0.600000,0.999869,12
653,2,1.864100,-80.412102,5.977850,31.501059,-0.959078,-0.898924,-0.733333,0.916485,11
657,2,0.958252,-78.600998,8.002850,25.774179,-0.979262,-0.878737,-0.600000,0.749869,9
679,2,2.769400,-77.695396,5.977850,34.365303,-0.938907,-0.868644,-0.733333,0.999817,12
681,2,3.675160,-79.506699,8.002850,34.365810,-0.918725,-0.888832,-0.600000,0.999832,12
1028,2,20.879601,-64.111198,32.302898,22.910458,-0.535377,-0.717233,1.000000,0.666552,8
487,2,4.580860,-81.317902,5.977850,34.365704,-0.898544,-0.909020,-0.733333,0.999829,12
492,2,6.392150,-80.412102,8.002850,34.365070,-0.858185,-0.898924,-0.600000,0.999810,12
